,Blueprint ID,Material Type,Quantity,Material ID
379,848,products,1,464
380,848,skills,1,3380
381,848,materials,113880,34
382,848,materials,29214,35
383,848,materials,9747,36
384,848,materials,2650,37
385,848,materials,411,38
386,848,materials,42,39
387,848,materials,74,40
388,879,products,100,178
389,879,skills,1,3380
390,879,materials,27,34
391,879,materials,21,35
392,880,products,100,179
393,880,skills,1,3380
394,880,materials,38,34
395,880,materials,32,35
396,881,products,100,180
397,881,skills,1,3380
398,881,materials,58,34
399,881,materials,23,35
400,881,materials,1,37
401,882,products,100,181
402,882,skills,1,3380
403,882,materials,118,34
404,882,materials,1,36
405,882,materials,2,37
406,883,products,100,182
407,883,skills,1,3380
408,883,materials,58,34
409,883,materials,64,35
410,883,materials,1,36
411,884,products,100,183
412,884,skills,1,3380
413,884,materials,162,34
414,884,materials,3,35
415,884,materials,3,37
416,885,products,100,184
417,885,skills,1,3380
418,885,materials,164,34
419,885,materials,17,35
420,885,materials,3,37
421,886,products,100,185
422,886,skills,1,3380
423,886,materials,204,34
424,886,materials,17,35
425,886,materials,1,38
426,887,products,100,186
427,887,skills,1,3380
428,887,materials,164,34
429,887,materials,17,35
430,887,materials,3,37
431,888,products,100,187
432,888,skills,1,3380
433,888,materials,116,34
434,888,materials,129,35
435,888,materials,2,36
436,889,products,100,188
437,889,skills,1,3380
438,889,materials,139,34
439,889,materials,194,35
440,890,products,100,189
441,890,skills,1,3380
442,890,materials,290,34
443,890,materials,119,35
444,890,materials,14,36
445,890,materials,2,37
446,891,products,100,190
447,891,skills,1,3380
448,891,materials,288,34
449,891,materials,254,35
450,892,products,100,191
451,892,skills,1,3380
452,892,materials,239,34
453,892,materials,318,35
454,892,materials,1,36
455,893,products,100,192
456,893,skills,1,3380
457,893,materials,668,34
458,893,materials,36,35
459,893,materials,4,36
460,893,materials,14,37
461,894,products,100,193
462,894,skills,1,3380
463,894,materials,449,34
464,894,materials,417,35
465,894,materials,7,36
466,895,products,100,194
467,895,skills,1,3380
468,895,materials,249,34
469,895,materials,198,35
470,895,materials,1,37
471,896,products,100,195
472,896,skills,1,3380
473,896,materials,520,34
474,896,materials,100,35
475,896,materials,2,36
476,896,materials,2,37
477,896,materials,2,38
478,897,products,100,196
479,897,skills,1,3380
480,897,materials,511,34
481,897,materials,428,35
482,898,products,100,197
483,898,skills,1,3380
484,898,materials,458,34
485,898,materials,580,35
486,899,products,100,198
487,899,skills,1,3380
488,899,materials,1040,34
489,899,materials,156,35
490,899,materials,104,36
491,900,products,100,199
492,900,skills,1,3380
493,900,materials,1236,34
494,900,materials,223,35
495,900,materials,110,36
496,901,products,100,200
497,901,skills,1,3380
498,901,materials,1529,34
499,901,materials,89,36
500,901,materials,23,37
501,902,products,100,201
502,902,skills,1,3380
503,902,materials,1778,34
504,902,materials,127,35
505,902,materials,89,36
506,902,materials,29,37
507,936,products,1,589
508,936,skills,1,3380
509,936,materials,32000,34
510,936,materials,6000,35
511,936,materials,2500,36
512,936,materials,500,37
513,937,products,1,590
514,937,skills,1,3380
515,937,materials,24000,34
516,937,materials,4500,35
517,937,materials,1875,36
518,937,materials,375,37
519,938,products,1,591
520,938,skills,1,3380
521,938,materials,32000,34
522,938,materials,6000,35
523,938,materials,2500,36
524,938,materials,500,37
525,939,products,1,592
526,939,skills,1,3380
527,939,materials,24000,34
528,939,materials,4500,35
529,939,materials,1875,36
530,939,materials,375,37
531,940,products,1,593
532,940,skills,1,3380
533,940,materials,32000,34
534,940,materials,6000,35
535,940,materials,2500,36
536,940,materials,500,37
537,941,products,1,594
538,941,skills,1,3380
539,941,materials,32000,34
540,941,materials,6000,35
541,941,materials,2500,36
542,941,materials,500,37
543,944,products,1,597
544,944,skills,1,3380
545,944,materials,32000,34
546,944,materials,6000,35
547,944,materials,2500,36
548,944,materials,500,37
549,945,products,1,598
550,945,skills,1,3380
551,945,materials,32000,34
552,945,materials,6000,35
553,945,materials,2500,36
554,945,materials,500,37
555,946,products,1,599
556,946,skills,1,3380
557,946,materials,24000,34
558,946,materials,4500,35
559,946,materials,1875,36
560,946,materials,375,37
561,947,products,1,600
562,947,skills,1,3380
563,949,products,1,602
564,949,skills,1,3380
565,949,materials,32000,34
566,949,materials,6000,35
567,949,materials,2500,36
568,949,materials,500,37
569,950,products,1,603
570,950,skills,1,3380
571,950,materials,32000,34
572,950,materials,6000,35
573,950,materials,2500,36
574,950,materials,500,37
575,952,products,1,605
576,952,skills,1,3380
577,952,materials,35200,34
578,952,materials,6600,35
579,952,materials,2750,36
580,952,materials,550,37
581,954,products,1,607
582,954,skills,1,3380
583,954,materials,35200,34
584,954,materials,6600,35
585,954,materials,2750,36
586,954,materials,550,37
587,955,products,1,608
588,955,skills,1,3380
589,955,materials,32000,34
590,955,materials,6000,35
591,955,materials,2500,36
592,955,materials,500,37
593,956,products,1,609
594,956,skills,1,3380
595,956,materials,24000,34
596,956,materials,4500,35
597,956,materials,1875,36
598,956,materials,375,37
599,960,products,1,613
600,960,skills,1,3380
601,961,products,1,614
602,961,skills,1,3380
603,962,products,1,615
604,962,skills,1,3380
605,963,products,1,616
606,963,skills,1,3380
607,964,products,1,617
608,964,skills,1,3380
609,965,products,1,618
610,965,skills,1,3380
611,966,products,1,619
612,966,skills,1,3380
613,967,products,1,672
614,967,skills,1,3380
615,967,materials,2778,34
616,968,products,1,623
617,968,skills,1,3380
618,968,materials,540000,34
619,968,materials,180000,35
620,968,materials,36000,36
621,968,materials,10000,37
622,968,materials,1500,38
623,968,materials,350,39
624,968,materials,140,40
625,969,products,1,624
626,969,skills,1,3380
627,969,materials,540000,34
628,969,materials,180000,35
629,969,materials,36000,36
630,969,materials,10000,37
631,969,materials,1500,38
632,969,materials,350,39
633,969,materials,140,40
634,970,products,1,625
635,970,skills,1,3380
636,970,materials,405000,34
637,970,materials,135000,35
638,970,materials,27000,36
639,970,materials,7500,37
640,970,materials,1125,38
641,970,materials,263,39
642,970,materials,105,40
643,971,products,1,626
644,971,skills,1,3380
645,971,materials,540000,34
646,971,materials,180000,35
647,971,materials,36000,36
648,971,materials,10000,37
649,971,materials,1500,38
650,971,materials,350,39
651,971,materials,140,40
652,972,products,1,627
653,972,skills,1,3380
654,972,materials,540000,34
655,972,materials,180000,35
656,972,materials,36000,36
657,972,materials,10000,37
658,972,materials,1500,38
659,972,materials,350,39
660,972,materials,140,40
661,973,products,1,628
662,973,skills,1,3380
663,973,materials,405000,34
664,973,materials,135000,35
665,973,materials,27000,36
666,973,materials,7500,37
667,973,materials,1125,38
668,973,materials,263,39
669,973,materials,105,40
670,974,products,1,629
671,974,skills,1,3380
672,974,materials,540000,34
673,974,materials,180000,35
674,974,materials,36000,36
675,974,materials,10000,37
676,974,materials,1500,38
677,974,materials,350,39
678,974,materials,140,40
679,975,products,1,630
680,975,skills,1,3380
681,975,materials,540000,34
682,975,materials,180000,35
683,975,materials,36000,36
684,975,materials,10000,37
685,975,materials,1500,38
686,975,materials,350,39
687,975,materials,140,40
688,976,products,1,631
689,976,skills,1,3380
690,976,materials,405000,34
691,976,materials,135000,35
692,976,materials,27000,36
693,976,materials,7500,37
694,976,materials,1125,38
695,976,materials,263,39
696,976,materials,105,40
697,977,products,1,632
698,977,skills,1,3380
699,977,materials,405000,34
700,977,materials,135000,35
701,977,materials,27000,36
702,977,materials,7500,37
703,977,materials,1125,38
704,977,materials,263,39
705,977,materials,105,40
706,978,products,1,633
707,978,skills,1,3380
708,978,materials,405000,34
709,978,materials,135000,35
710,978,materials,27000,36
711,978,materials,7500,37
712,978,materials,1125,38
713,978,materials,263,39
714,978,materials,105,40
715,979,products,1,634
716,979,skills,1,3380
717,979,materials,405000,34
718,979,materials,135000,35
719,979,materials,27000,36
720,979,materials,7500,37
721,979,materials,1125,38
722,979,materials,263,39
723,979,materials,105,40
724,983,products,1,648
725,983,skills,1,3380
726,983,materials,80000,34
727,983,materials,15000,35
728,983,materials,3750,36
729,983,materials,2000,37
730,983,materials,750,38
731,983,materials,125,39
732,983,materials,70,40
733,984,products,1,649
734,984,skills,1,3380
735,984,materials,80000,34
736,984,materials,15000,35
737,984,materials,3750,36
738,984,materials,2000,37
739,984,materials,750,38
740,984,materials,125,39
741,984,materials,70,40
742,985,products,1,650
743,985,skills,1,3380
744,985,materials,80000,34
745,985,materials,15000,35
746,985,materials,3750,36
747,985,materials,2000,37
748,985,materials,750,38
749,985,materials,125,39
750,985,materials,70,40
751,986,products,1,651
752,986,skills,1,3380
753,986,materials,80000,34
754,986,materials,15000,35
755,986,materials,3750,36
756,986,materials,2000,37
757,986,materials,750,38
758,986,materials,125,39
759,986,materials,70,40
760,987,products,1,652
761,987,skills,1,3380
762,987,materials,80000,34
763,987,materials,15000,35
764,987,materials,3750,36
765,987,materials,2000,37
766,987,materials,750,38
767,987,materials,125,39
768,987,materials,70,40
769,988,products,1,653
770,988,skills,1,3380
771,988,materials,80000,34
772,988,materials,15000,35
773,988,materials,3750,36
774,988,materials,2000,37
775,988,materials,750,38
776,988,materials,125,39
777,988,materials,70,40
778,989,products,1,654
779,989,skills,1,3380
780,989,materials,80000,34
781,989,materials,15000,35
782,989,materials,3750,36
783,989,materials,2000,37
784,989,materials,750,38
785,989,materials,125,39
786,989,materials,70,40
787,990,products,1,655
788,990,skills,1,3380
789,990,materials,80000,34
790,990,materials,15000,35
791,990,materials,3750,36
792,990,materials,2000,37
793,990,materials,750,38
794,990,materials,125,39
795,990,materials,70,40
796,991,products,1,656
797,991,skills,1,3380
798,991,materials,80000,34
799,991,materials,15000,35
800,991,materials,3750,36
801,991,materials,2000,37
802,991,materials,750,38
803,991,materials,125,39
804,991,materials,70,40
805,992,products,1,657
806,992,skills,1,3380
807,992,materials,80000,34
808,992,materials,15000,35
809,992,materials,3750,36
810,992,materials,2000,37
811,992,materials,750,38
812,992,materials,125,39
813,992,materials,70,40
814,994,products,1,640
815,994,skills,1,3380
816,994,materials,6000000,34
817,994,materials,3000000,35
818,994,materials,450000,36
819,994,materials,300000,37
820,994,materials,9000,38
821,994,materials,4500,39
822,994,materials,2250,40
823,994,materials,150,57478
824,994,materials,1,57479
825,994,materials,75,57486
826,995,products,1,641
827,995,skills,1,3380
828,995,materials,8000000,34
829,995,materials,4000000,35
830,995,materials,600000,36
831,995,materials,400000,37
832,995,materials,12000,38
833,995,materials,6000,39
834,995,materials,3000,40
835,995,materials,200,57478
836,995,materials,1,57479
837,995,materials,100,57486
838,996,products,1,642
839,996,skills,1,3380
840,996,materials,8000000,34
841,996,materials,4000000,35
842,996,materials,600000,36
843,996,materials,400000,37
844,996,materials,12000,38
845,996,materials,6000,39
846,996,materials,3000,40
847,996,materials,200,57478
848,996,materials,1,57479
849,996,materials,100,57486
850,997,products,1,643
851,997,skills,1,3380
852,997,materials,8000000,34
853,997,materials,4000000,35
854,997,materials,600000,36
855,997,materials,400000,37
856,997,materials,12000,38
857,997,materials,6000,39
858,997,materials,3000,40
859,997,materials,200,57478
860,997,materials,1,57479
861,997,materials,100,57486
862,998,products,1,644
863,998,skills,1,3380
864,998,materials,8000000,34
865,998,materials,4000000,35
866,998,materials,600000,36
867,998,materials,400000,37
868,998,materials,12000,38
869,998,materials,6000,39
870,998,materials,3000,40
871,998,materials,200,57478
872,998,materials,1,57479
873,998,materials,100,57486
874,999,products,1,645
875,999,skills,1,3380
876,999,materials,8000000,34
877,999,materials,4000000,35
878,999,materials,600000,36
879,999,materials,400000,37
880,999,materials,12000,38
881,999,materials,6000,39
882,999,materials,3000,40
883,999,materials,200,57478
884,999,materials,1,57479
885,999,materials,100,57486
886,1002,products,1,671
887,1002,skills,5,22242
888,1002,materials,100,21009
889,1002,materials,400,21011
890,1002,materials,200,21013
891,1002,materials,300,21017
892,1002,materials,400,21019
893,1002,materials,300,21021
894,1002,materials,150,21023
895,1002,materials,400,21025
896,1002,materials,100,21035
897,1002,materials,200,21037
898,1002,materials,556,24545
899,1002,materials,556,24547
900,1002,materials,556,24556
901,1002,materials,556,24558
902,1002,materials,556,24560
903,1002,materials,500,57472
904,1002,materials,500,57476
905,1002,materials,5000,57478
906,1002,materials,2500,57486
907,1002,materials,40,57487
908,1002,materials,1,57489
909,1010,products,1,377
910,1010,skills,1,3380
911,1010,materials,916,34
912,1010,materials,64,35
913,1010,materials,29,36
914,1010,materials,4,38
915,1013,products,1,380
916,1013,skills,5,3380
917,1013,skills,1,11443
918,1013,skills,1,11455
919,1013,materials,3,3685
920,1013,materials,1,11399
921,1013,materials,1,377
922,1013,materials,3,11558
923,1013,materials,1,11484
924,1026,products,1,393
925,1026,skills,1,3380
926,1026,materials,458,34
927,1026,materials,610,35
928,1026,materials,51,36
929,1026,materials,4,37
930,1026,materials,3,38
931,1027,products,1,394
932,1027,skills,5,3380
933,1027,skills,1,11443
934,1027,skills,1,11455
935,1027,materials,1,11399
936,1027,materials,1,393
937,1027,materials,3,9838
938,1027,materials,1,11484
939,1027,materials,1,3685
940,1032,products,1,399
941,1032,skills,1,3380
942,1032,materials,1327,34
943,1032,materials,481,35
944,1032,materials,113,36
945,1033,products,1,400
946,1033,skills,5,3380
947,1033,skills,1,11443
948,1033,skills,1,11455
949,1033,materials,1,11399
950,1033,materials,1,9838
951,1033,materials,1,399
952,1033,materials,3,11556
953,1033,materials,1,11484
954,1067,products,1,434
955,1067,skills,1,3380
956,1067,materials,3967,34
957,1067,materials,2131,35
958,1067,materials,228,36
959,1067,materials,13,37
960,1067,materials,2,38
961,1071,products,1,438
962,1071,skills,5,3380
963,1071,skills,1,11449
964,1071,skills,1,11529
965,1071,materials,1,11399
966,1071,materials,3,11530
967,1071,materials,15,11531
968,1071,materials,1,11475
969,1071,materials,1,439
970,1071,materials,8,11549
971,1072,products,1,439
972,1072,skills,1,3380
973,1072,materials,708,34
974,1072,materials,643,35
975,1072,materials,1,36
976,1072,materials,1,38
977,1073,products,1,440
978,1073,skills,5,3380
979,1073,skills,1,11449
980,1073,skills,1,11529
981,1073,materials,17,11399
982,1073,materials,24,11530
983,1073,materials,15,11531
984,1073,materials,1,434
985,1073,materials,1,11475
986,1073,materials,8,11549
987,1074,products,1,442
988,1074,skills,1,3380
989,1074,materials,589,34
990,1074,materials,3,35
991,1074,materials,14,36
992,1075,products,1,443
993,1075,skills,1,3380
994,1075,materials,551,34
995,1075,materials,34,36
996,1076,products,1,444
997,1076,skills,1,3380
998,1076,materials,1111,34
999,1079,products,1,447
1000,1079,skills,1,3380
1001,1079,materials,502,34
1002,1079,materials,297,35
1003,1079,materials,334,36
1004,1079,materials,197,37
1005,1079,materials,4,39
1006,1080,products,1,448
1007,1080,skills,5,3380
1008,1080,skills,1,11446
1009,1080,skills,1,11448
1010,1080,materials,8,11399
1011,1080,materials,3,11534
1012,1080,materials,8,9840
1013,1080,materials,15,9842
1014,1080,materials,9,11540
1015,1080,materials,1,11483
1016,1080,materials,1,447
1017,1095,products,1,519
1018,1095,skills,5,3380
1019,1095,skills,1,11452
1020,1095,skills,1,11453
1021,1095,materials,1,520
1022,1095,materials,8,3689
1023,1095,materials,8,11399
1024,1095,materials,8,11538
1025,1095,materials,3,9842
1026,1095,materials,1,11483
1027,1096,products,1,520
1028,1096,skills,1,3380
1029,1096,materials,773,34
1030,1096,materials,491,35
1031,1096,materials,518,36
1032,1096,materials,3,37
1033,1096,materials,4,39
1034,1099,products,1,523
1035,1099,skills,1,3380
1036,1099,materials,4,40
1037,1099,materials,858,34
1038,1099,materials,288,35
1039,1100,products,1,524
1040,1100,skills,1,3380
1041,1100,materials,470,34
1042,1100,materials,6827,35
1043,1102,products,1,526
1044,1102,skills,1,3380
1045,1102,materials,862,34
1046,1102,materials,792,35
1047,1102,materials,529,36
1048,1103,products,1,527
1049,1103,skills,5,3380
1050,1103,skills,1,11446
1051,1103,skills,1,11448
1052,1103,materials,8,11399
1053,1103,materials,3,11538
1054,1103,materials,1,526
1055,1103,materials,12,9840
1056,1103,materials,8,9842
1057,1103,materials,1,11483
1058,1105,products,1,529
1059,1105,skills,1,3380
1060,1105,materials,2,40
1061,1105,materials,7396,34
1062,1105,materials,967,35
1063,1105,materials,3,38
1064,1106,products,1,530
1065,1106,skills,1,3380
1066,1106,materials,2,40
1067,1106,materials,2093,34
1068,1106,materials,1532,35
1069,1106,materials,22,36
1070,1106,materials,138,37
1071,1109,products,1,533
1072,1109,skills,1,3380
1073,1109,materials,520,34
1074,1109,materials,39,35
1075,1109,materials,198,36
1076,1109,materials,96,37
1077,1109,materials,2,39
1078,1109,materials,2,40
1079,1112,products,1,561
1080,1112,skills,1,3380
1081,1112,materials,231,34
1082,1112,materials,220,35
1083,1113,products,1,562
1084,1113,skills,1,3380
1085,1113,materials,996,34
1086,1113,materials,300,35
1087,1113,materials,2,39
1088,1114,products,1,563
1089,1114,skills,1,3380
1090,1114,materials,1667,34
1091,1114,materials,144,35
1092,1114,materials,83,36
1093,1114,materials,22,37
1094,1115,products,1,564
1095,1115,skills,1,3380
1096,1115,materials,1596,34
1097,1115,materials,690,35
1098,1115,materials,144,36
1099,1116,products,1,565
1100,1116,skills,1,3380
1101,1116,materials,2729,34
1102,1116,materials,148,35
1103,1116,materials,171,36
1104,1116,materials,4,39
1105,1117,products,1,566
1106,1117,skills,1,3380
1107,1117,materials,2,40
1108,1117,materials,4453,34
1109,1117,materials,1287,35
1110,1117,materials,1199,36
1111,1118,products,1,567
1112,1118,skills,1,3380
1113,1118,materials,827,34
1114,1118,materials,598,35
1115,1118,materials,493,36
1116,1119,products,1,568
1117,1119,skills,1,3380
1118,1119,materials,9089,34
1119,1119,materials,2786,35
1120,1119,materials,2827,36
1121,1119,materials,14,37
1122,1119,materials,1,38
1123,1120,products,1,569
1124,1120,skills,1,3380
1125,1120,materials,4529,34
1126,1120,materials,1643,35
1127,1120,materials,2413,36
1128,1120,materials,1,38
1129,1121,products,1,570
1130,1121,skills,1,3380
1131,1121,materials,9133,34
1132,1121,materials,2981,35
1133,1121,materials,3599,36
1134,1121,materials,2,37
1135,1121,materials,18,38
1136,1122,products,1,571
1137,1122,skills,1,3380
1138,1122,materials,45551,34
1139,1122,materials,12150,35
1140,1122,materials,6060,36
1141,1122,materials,1596,37
1142,1122,materials,126,38
1143,1122,materials,16,39
1144,1123,products,1,572
1145,1123,skills,1,3380
1146,1123,materials,8,40
1147,1123,materials,13683,34
1148,1123,materials,4117,35
1149,1123,materials,3851,36
1150,1123,materials,2,39
1151,1124,products,1,573
1152,1124,skills,1,3380
1153,1124,materials,91067,34
1154,1124,materials,23527,35
1155,1124,materials,8613,36
1156,1124,materials,2294,37
1157,1124,materials,324,38
1158,1124,materials,18,39
1159,1124,materials,52,40
1160,1125,products,1,574
1161,1125,skills,1,3380
1162,1125,materials,113880,34
1163,1125,materials,29214,35
1164,1125,materials,9747,36
1165,1125,materials,2650,37
1166,1125,materials,411,38
1167,1125,materials,42,39
1168,1125,materials,74,40
1169,1126,products,1,575
1170,1126,skills,1,3380
1171,1126,materials,68307,34
1172,1126,materials,17839,35
1173,1126,materials,7197,36
1174,1126,materials,1951,37
1175,1126,materials,234,38
1176,1126,materials,12,39
1177,1126,materials,26,40
1178,1128,products,1,577
1179,1128,skills,1,3380
1180,1128,materials,2,40
